URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,84,76,0.05,0.24,25.38,29%,10.27,25.38,524,994,1.79,8,6.28
79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,34,104,-0.51,0.4,15.08,24%,6.13,15.08,278,597,1.62,13,5.93
80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,78,107,-0.16,0.48,16.72,21%,6.77,16.73,266,659,1.49,5,5.67
81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,54,105,-0.32,0.32,28.54,23%,11.51,28.54,303,800,1.65,6,6.06
82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,51,95,-0.3,0.23,20.22,28%,8.2,20.22,460,978,1.73,10,6.37
83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,35,115,-0.53,0.41,15.39,25%,6.25,15.39,298,627,1.64,15,5.98
84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,74,91,-0.1,0.3,32.07,24%,12.93,32.07,423,923,1.63,5,5.9
87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,62,102,-0.24,0.24,26.34,26%,12.94,26.34,508,1072,1.73,6,6.25
88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,107,298,-0.47,0.25,20.19,31%,12.95,20.19,1231,2693,1.53,2,6.01
89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,59,99,-0.25,0.24,23.45,25%,12.93,23.45,485,1047,1.75,12,6.11
90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,67,131,-0.32,0.27,28.18,30%,12.95,28.18,514,1033,1.91,0,6.63
91,https://insights.blackcoffer.com/human-rights-outlook/,7,10,-0.18,0.29,20.89,23%,12.92,20.89,44,97,1.65,2,5.87
92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,51,54,-0.03,0.26,26.2,24%,12.93,26.2,276,660,1.56,2,6.12
93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,64,72,-0.06,0.23,16.93,25%,12.93,16.93,502,1019,1.68,6,6.02
94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,94,114,-0.1,0.29,21.55,26%,12.94,21.55,537,1143,1.67,5,6.21
96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,63,99,-0.22,0.21,32.13,32%,12.96,32.13,634,1181,1.75,1,6.5
97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,41,82,-0.33,0.31,21.03,26%,12.94,21.04,290,621,1.69,6,6.18
98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,55,99,-0.29,0.39,18.24,23%,12.92,18.24,314,687,1.69,37,5.92
99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,44,67,-0.21,0.29,30.84,25%,12.93,30.84,299,632,1.78,12,6.05
100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,56,85,-0.21,0.26,24.81,31%,12.95,24.81,451,914,1.72,5,6.41
101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,8,10,-0.11,0.28,19.27,21%,12.91,19.27,44,110,1.56,2,5.62
102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,50,82,-0.24,0.31,20.65,24%,12.93,20.65,302,681,1.65,13,5.94
103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,27,50,-0.3,0.28,20.74,31%,12.95,20.74,228,434,1.63,4,6.17
104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,52,97,-0.3,0.31,24.3,29%,12.94,24.3,348,715,1.84,4,6.37
105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,56,83,-0.19,0.42,31.74,23%,12.92,31.74,276,576,1.62,7,5.83
106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,10,16,-0.23,0.14,35.92,31%,12.95,35.92,133,271,1.83,0,6.74
107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,23,22,0.02,0.2,22.19,27%,12.94,22.19,187,400,1.55,4,5.85
108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,64,104,-0.24,0.36,37.09,28%,12.94,37.09,331,673,1.76,3,6.49
109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,37,41,-0.05,0.42,25.74,17%,12.9,25.74,139,359,1.47,42,5.29
110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,28,69,-0.42,0.23,25.21,28%,12.94,25.21,335,701,1.72,1,6.36
111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,30,52,-0.27,0.21,22.19,26%,12.93,22.19,299,624,1.81,0,6.41
112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,49,88,-0.28,0.3,21.87,29%,12.95,21.87,335,666,1.77,3,6.49
113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,53,98,-0.3,0.3,26.16,28%,12.94,26.16,406,827,1.66,10,6.17
114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,81,92,-0.06,0.29,24.7,24%,12.93,24.7,421,951,1.67,6,5.97
115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,67,97,-0.18,0.21,27.96,29%,12.95,27.95,594,1237,1.71,12,6.15
116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,42,49,-0.08,0.36,76.25,16%,12.89,76.25,147,482,1.53,46,5.33
117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,99,168,-0.26,0.32,30.66,29%,12.94,30.66,617,1241,1.76,13,6.36
118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,70,98,-0.17,0.44,17.76,20%,12.91,17.76,290,736,1.57,7,5.65
119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,17,34,-0.33,0.29,22.53,32%,12.96,22.53,122,239,1.73,1,6.6
120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,80,145,-0.29,0.24,27.14,30%,12.95,27.14,710,1458,1.73,9,6.35
121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,67,110,-0.24,0.42,26.98,18%,12.9,26.98,311,809,1.59,36,5.56
122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,57,110,-0.32,0.23,22.93,26%,12.93,22.93,517,1146,1.64,14,6.14
123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,83,135,-0.24,0.32,26.87,25%,12.93,26.87,503,1130,1.71,19,6.17
124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,96,164,-0.26,0.29,32.94,32%,12.96,32.94,704,1331,1.74,9,6.55
125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,109,84,0.13,0.26,32.3,28%,12.94,32.3,574,1111,1.75,3,6.31
126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,33,48,-0.19,0.25,28.79,26%,12.94,28.79,251,522,1.69,3,6.2
127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,95,161,-0.26,0.38,27.66,27%,12.94,27.66,493,1031,1.77,7,6.38
128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,52,95,-0.29,0.42,24.96,25%,12.93,24.96,286,576,1.68,5,6.04
129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,8,48,-0.71,0.19,25.5,32%,12.96,25.5,247,481,1.74,1,6.53
130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,68,117,-0.26,0.27,37.02,27%,12.94,37.02,508,1230,1.78,3,6.33
131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,140,118,0.09,0.33,28.01,30%,12.95,28.01,581,1128,1.76,0,6.43
132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,68,93,-0.16,0.29,26.78,26%,12.94,26.78,418,883,1.69,8,6.45
133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,70,71,-0.01,0.29,27.49,36%,12.97,27.49,401,683,1.99,1,6.96
134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,24,34,-0.17,0.32,29.86,29%,12.95,29.86,123,250,1.95,4,6.89
135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,6,18,-0.5,0.26,25.79,20%,12.91,25.79,72,188,1.53,7,5.62
136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,14,29,-0.35,0.3,21,29%,12.95,21,129,204,1.58,5,5.9
137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,7,10,-0.18,0.17,37.43,27%,12.94,37.43,71,146,1.58,4,6.1
138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,11,19,-0.27,0.36,20.36,27%,12.94,20.36,77,147,1.78,8,6.1
139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,51,47,0.04,0.34,20.53,34%,12.97,20.53,237,441,1.85,2,6.75
140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,45,97,-0.37,0.34,27.98,26%,12.93,27.98,301,672,1.69,0,6.11
141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,44,74,-0.25,0.34,33.3,25%,12.93,33.3,271,591,1.63,4,6
142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,66,123,-0.3,0.25,26.87,27%,12.94,26.87,548,1165,1.77,1,6.23
143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,25,47,-0.31,0.28,19.29,26%,12.93,19.29,176,380,1.76,2,6.16
145,https://insights.blackcoffer.com/blockchain-in-fintech/,34,43,-0.12,0.21,27.73,24%,12.92,27.73,243,558,1.75,2,6.25
146,https://insights.blackcoffer.com/blockchain-for-payments/,39,65,-0.25,0.27,20.28,28%,12.94,20.28,288,596,1.78,9,6.5
147,https://insights.blackcoffer.com/the-future-of-investing/,81,60,0.15,0.21,28.45,31%,12.95,28.45,541,1077,1.72,18,6.31
148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,67,123,-0.29,0.36,19.64,30%,12.95,19.64,393,777,1.77,2,6.23
149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,55,49,0.06,0.3,27.28,35%,12.97,27.28,276,463,1.96,0,6.82
150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,52,83,-0.23,0.32,17.42,26%,12.93,17.42,296,656,1.78,8,6.14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"OMITTED URLS ARE NOT WORKING : ERROR 404, NOT FOUND",,,,,,,,,,,,,
